Phenotype,Method,h2model,clumpprune,numberofpca,n_folds,mean_h2,std_h2,median_h2,min_h2,max_h2,CV,fold_SE,CI_lower_fold,CI_upper_fold,SNR_fold,significant_fold,tool_SE_mean,tool_SE_std,tool_SE_min,tool_SE_max,n_folds_with_tool_SE,CI_lower_tool,CI_upper_tool,SNR_tool,significant_tool,mean_variants
asthma,LDSC-Heritability,LDSC_eur_w_ld_chr_eur_ref_ld_chr,no,-,5,-0.0077,0.0,-0.0077,-0.0077,-0.0077,0.0,0.0,-0.0077,-0.0077,,No,0.0083,0.0,0.0083,0.0083,5,-0.024,0.0086,-0.9277,No,28082.0
asthma,LDSC-Heritability,LDSC_eur_w_ld_chr_eur_w_ld_chr,no,-,5,-0.0077,0.0,-0.0077,-0.0077,-0.0077,0.0,0.0,-0.0077,-0.0077,,No,0.0083,0.0,0.0083,0.0083,5,-0.024,0.0086,-0.9277,No,28082.0
asthma,LDpred-2-Heritability,LDpred-2_full,no,6,0,,,,,,,,,,,NA,,,,,0,,,,NA,
asthma,LDpred-2-Heritability,LDpred-2_full,yes,6,5,0.1114,0.013,0.1098,0.0988,0.1299,0.1171,0.0058,0.1,0.1229,19.1011,Yes,,,,,0,,,,NA,28052.6
asthma,LDpred-2-Heritability,LDpred-2_hapmap,no,6,0,,,,,,,,,,,NA,,,,,0,,,,NA,
asthma,LDpred-2-Heritability,LDpred-2_hapmap,yes,6,5,0.0489,0.0241,0.0445,0.0216,0.0865,0.4931,0.0108,0.0277,0.07,4.5345,Yes,,,,,0,,,,NA,6828.0
body_mass_index_bmi,DPR-Gemma-Heritability,HE regression_centered_genotype,no,6,5,0.3539,0.1468,0.3297,0.203,0.598,0.4147,0.0656,0.2253,0.4826,5.3918,Yes,0.454,0.0316,0.4081,0.4898,5,-0.5358,1.2437,0.7796,No,598280.6
body_mass_index_bmi,DPR-Gemma-Heritability,HE regression_centered_genotype,yes,6,5,0.1164,0.085,0.1105,0.015,0.2505,0.7306,0.038,0.0418,0.1909,3.0608,Yes,0.3344,0.0053,0.3273,0.3411,5,-0.5391,0.7718,0.3479,No,27780.0
body_mass_index_bmi,DPR-Gemma-Heritability,HE regression_centered_genotype_covariate,no,6,5,-0.0007,0.2036,-0.0806,-0.1135,0.3613,288.2481,0.0911,-0.1792,0.1778,-0.0078,No,0.3056,0.0385,0.2665,0.3608,5,-0.5997,0.5983,-0.0023,No,598280.6
body_mass_index_bmi,DPR-Gemma-Heritability,HE regression_centered_genotype_covariate,yes,6,5,-0.1909,0.1635,-0.153,-0.4147,-0.0,0.8563,0.0731,-0.3342,-0.0476,-2.6112,No,0.2141,0.0136,0.1969,0.2332,5,-0.6106,0.2288,-0.8915,No,27780.0
body_mass_index_bmi,DPR-Gemma-Heritability,HE regression_centered_genotype_covariate_pca,no,6,5,0.0382,0.2184,-0.0445,-0.0921,0.4272,5.7127,0.0977,-0.1532,0.2297,0.3914,No,0.3249,0.0402,0.2883,0.387,5,-0.5986,0.6751,0.1177,No,598280.6
body_mass_index_bmi,DPR-Gemma-Heritability,HE regression_centered_genotype_covariate_pca,yes,6,5,-0.1659,0.2116,-0.1311,-0.4866,0.0724,1.2756,0.0946,-0.3514,0.0196,-1.7529,No,0.2213,0.0208,0.1913,0.248,5,-0.5996,0.2678,-0.7497,No,27780.0
body_mass_index_bmi,DPR-Gemma-Heritability,HE regression_standardized_genotype,no,6,5,0.5197,0.3418,0.3887,0.1665,1.0454,0.6576,0.1528,0.2201,0.8193,3.4003,Yes,0.6701,0.0307,0.6169,0.6918,5,-0.7937,1.8331,0.7756,No,598280.6
body_mass_index_bmi,DPR-Gemma-Heritability,HE regression_standardized_genotype,yes,6,5,0.3791,0.1242,0.3538,0.2315,0.5689,0.3275,0.0555,0.2703,0.488,6.8275,Yes,0.3779,0.0091,0.3674,0.3884,5,-0.3616,1.1199,1.0031,No,27780.0
body_mass_index_bmi,DPR-Gemma-Heritability,HE regression_standardized_genotype_covariate,no,6,5,0.1551,0.4122,0.0323,-0.1779,0.8163,2.6579,0.1843,-0.2062,0.5164,0.8413,No,0.4699,0.0797,0.4083,0.5802,5,-0.7658,1.076,0.3301,No,598280.6
body_mass_index_bmi,DPR-Gemma-Heritability,HE regression_standardized_genotype_covariate,yes,6,5,-0.1185,0.2015,-0.2003,-0.3672,0.1137,1.7004,0.0901,-0.2951,0.0581,-1.3151,No,0.2427,0.0187,0.2191,0.2701,5,-0.5941,0.3571,-0.4883,No,27780.0
body_mass_index_bmi,DPR-Gemma-Heritability,HE regression_standardized_genotype_covariate_pca,no,6,5,0.2094,0.4493,0.0453,-0.1608,0.9251,2.1453,0.2009,-0.1844,0.6032,1.0423,No,0.498,0.0886,0.4301,0.6254,5,-0.7667,1.1855,0.4205,No,598280.6
body_mass_index_bmi,DPR-Gemma-Heritability,HE regression_standardized_genotype_covariate_pca,yes,6,5,-0.0829,0.236,-0.1441,-0.3904,0.1813,2.8453,0.1055,-0.2898,0.1239,-0.7859,No,0.2529,0.0246,0.2198,0.286,5,-0.5786,0.4127,-0.328,No,27780.0
body_mass_index_bmi,DPR-Gemma-Heritability,REML AI algorithm_centered_genotype,no,6,5,0.4984,0.2275,0.5098,0.2625,0.8559,0.4564,0.1017,0.299,0.6979,4.8993,Yes,0.6139,0.0201,0.6002,0.6491,5,-0.7048,1.7017,0.8119,No,598280.6
