,clump_p1,clump_r2,clump_kb,p_window_size,p_slide_size,p_LD_threshold,numberofpca,h2,numberofvariants,h2model,clumpprune,Method,Phenotype,relatedmatrix,data,Unnamed: 0.1,refset,weightset,alphamodelvalue,precomputedfile
135,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.7978647999999999,598411.6,HE regression_standardized_genotype,no,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
136,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.3498483599999999,598411.6,HE regression_standardized_genotype_covariate,no,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
137,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.38590582,598411.6,HE regression_standardized_genotype_covariate_pca,no,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
138,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.1634391999999999,25824.2,REML AI algorithm_centered_genotype,yes,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
139,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0013107108,25824.2,REML AI algorithm_centered_genotype_covariate,yes,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
140,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0023493442,25824.2,REML AI algorithm_centered_genotype_covariate_pca,yes,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
141,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.08640777,25824.2,REML AI algorithm_standardized_genotype,yes,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
142,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.017832146,25824.2,REML AI algorithm_standardized_genotype_covariate,yes,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
143,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0174624879999999,25824.2,REML AI algorithm_standardized_genotype_covariate_pca,yes,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
144,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.53904362,598411.6,REML AI algorithm_centered_genotype,no,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
145,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.2834463399999999,598411.6,REML AI algorithm_centered_genotype_covariate,no,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
146,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.30274196,598411.6,REML AI algorithm_centered_genotype_covariate_pca,no,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
147,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.7496456,598411.6,REML AI algorithm_standardized_genotype,no,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
148,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.8519594000000001,598411.6,REML AI algorithm_standardized_genotype_covariate,no,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
